#{"t_start": 1765838208.0316541, "env_id": "None"}
r,l,t
-39.515589,100,26.387271
-44.637892,100,26.404063
-35.997554,100,26.428579
-43.884568,100,26.444851
-47.040407,100,26.46312
-42.935834,100,26.486598
-44.049013,100,26.503558
-38.887847,100,26.520752
-41.423204,100,27.286618
-0.470157,2,27.286618
-42.439041,100,27.304068
-52.462262,100,27.337093
-42.059525,100,27.355512
-46.302951,100,27.370017
-39.073718,100,27.396271
-40.387724,100,27.42005
-42.819927,100,27.439835
-45.937693,100,27.460515
-41.167783,100,27.478409
-35.229605,100,27.501391
-40.398217,100,27.519878
-42.934895,100,27.543023
-42.690357,100,27.560562
-42.817125,100,27.578298
-38.046002,100,27.604116
-6e-06,1,27.604116
-45.99607,100,27.629355
-45.979009,100,27.65333
-37.154683,100,27.670069
-13.811092,43,27.678342
-36.917189,100,27.709361
-42.921282,100,28.455688
-43.104513,100,28.475014
-35.390423,100,28.48709
-37.302326,100,28.504051
-37.48251,100,28.52867
-8.619449,30,28.540874
-44.670447,100,28.564043
-37.124225,100,28.578371
-42.385987,100,28.600176
-36.74929,100,28.620442
-37.355096,100,28.6419
-32.595989,100,28.662219
-20.99445,59,28.687103
-39.074434,100,28.703959
-38.704665,100,28.720841
-42.693365,100,28.74398
-41.357495,100,28.762031
-47.25225,100,28.778811
-2.426383,6,28.778811
-3.6e-05,1,28.778811
-46.832845,100,28.803297
-44.948821,100,28.820415
-42.154414,100,28.843882
-42.152334,100,29.528658
-38.793753,100,29.545479
-47.43345,100,29.562644
-39.6528,100,29.586788
-45.338206,100,29.604156
-37.342593,100,29.628808
-37.114502,100,29.660538
-43.871075,100,29.67909
-45.19905,100,29.703239
-38.579887,100,29.769968
-42.221809,100,29.787113
-40.099787,100,29.803843
-45.848655,100,29.828335
-41.055704,100,29.853407
-41.5915,100,29.870481
-41.892414,100,29.891036
-44.796582,100,29.904025
-38.333388,100,29.926918
-44.520982,100,29.945549
-37.791307,100,29.964935
-42.471742,100,29.97842
-40.125099,100,30.678759
-37.342107,100,30.696527
-44.506451,100,30.71395
-37.597942,100,30.736785
-41.016482,100,30.754653
-38.872938,100,30.770432
-33.242487,100,30.797471
-39.459992,100,30.820844
-35.942046,100,30.838236
-34.857659,100,30.855944
-45.288808,100,30.886882
-40.187569,100,30.904101
-39.724603,100,30.921064
-41.736186,100,30.942403
-37.976603,100,30.959946
-37.713661,100,30.978394
-42.0506,100,31.00408
-38.916454,100,31.026599
-39.157276,100,31.04564
-34.368694,100,31.070141
-34.478386,100,31.823211
-39.798475,100,31.841051
-46.077388,100,31.858643
-34.051481,100,31.879142
-0.112993,3,31.879142
-38.686872,100,31.900728
-40.798684,100,31.920769
-37.026136,100,31.941928
-44.044865,100,31.95971
-39.867257,100,31.978758
-39.83145,100,32.00344
-31.994443,100,32.02091
-38.179168,100,32.044007
-41.877122,100,32.068259
-44.10269,100,32.087396
-39.528874,100,32.106611
-32.029767,100,32.128704
-38.711749,100,32.145776
-44.715294,100,32.170508
-35.807188,100,32.187158
-38.779413,100,32.211784
-40.334947,100,32.228977
-37.067835,100,32.987184
-32.920831,100,33.0044
-33.180998,100,33.041272
-40.02832,100,33.062374
-36.189174,100,33.078567
-38.228283,100,33.101613
-40.149196,100,33.120605
-34.104202,100,33.145628
-36.597262,100,33.170563
-36.561813,100,33.201588
-37.556384,100,33.220599
-46.819726,100,33.24825
-2.239148,5,33.250313
-38.663989,100,33.274919
-32.277178,100,33.287723
-8e-06,1,33.287723
-38.569059,100,33.315046
-39.607105,100,33.328897
-38.937418,100,33.355667
-38.6938,100,33.378521
-45.187769,100,33.404076
-42.104184,100,33.420575
-43.021424,100,34.102348
-38.508748,100,34.120439
-38.072217,100,34.145906
-33.205111,100,34.168153
-40.33454,100,34.195171
-37.136417,100,34.21302
-40.723483,100,34.22856
-42.046351,100,34.254701
-36.52641,100,34.270122
-39.102754,100,34.299445
-38.564536,100,34.320549
-42.420995,100,34.348568
-41.737289,100,34.370205
-36.618434,100,34.39719
-33.041685,100,34.418041
-37.051632,100,34.439024
-43.293345,100,34.464372
-42.472384,100,34.479011
-44.54274,100,34.504158
-37.77692,100,34.521234
-44.140131,100,34.540044
-50.459657,100,35.287247
-35.33053,100,35.304402
-37.070731,100,35.32899
-42.062676,100,35.345668
-39.106616,100,35.370259
-46.913254,100,35.38686
-36.529615,100,35.470238
-38.068999,100,35.48698
-41.684692,100,35.516378
-34.313578,100,35.532727
-46.099023,100,35.560927
-39.842011,100,35.579734
-42.259166,100,35.601386
-38.52593,100,35.628553
-46.089452,100,35.64527
-40.390163,100,35.670245
-34.743501,100,35.687375
-35.998279,100,35.717993
-32.555347,100,35.738327
-41.250852,100,35.759906
-41.785919,100,36.501366
-41.238337,100,36.520041
-40.833325,100,36.541125
-38.767605,100,36.564111
-34.582458,100,36.578981
-34.938743,100,36.604137
-43.739297,100,36.620367
-34.353697,100,36.645811
-43.147973,100,36.665468
-34.985189,100,36.678552
-42.325131,100,36.703086
-43.636777,100,36.720215
-35.508624,100,36.745146
-38.695537,100,36.771396
-44.921523,100,36.797742
-36.795866,100,36.823817
-39.594422,100,36.84582
-39.408849,100,36.868161
-34.867621,100,36.87857
-40.7037,100,36.903522
-42.954759,100,37.586892
-2.705641,7,37.586892
-36.913207,100,37.608604
-39.261742,100,37.625642
-37.617045,100,37.643443
-38.942724,100,37.66013
-36.498734,100,37.677099
-45.857926,100,37.699878
-38.889493,100,37.720303
-37.102792,100,37.740139
-33.946073,100,37.756864
